8558, 3301, 7027, 8062, 9291
8366, 2693, 1654, 6427, 9739
8440, 7222, 7847, 8716, 3133
2164, 6580, 7956, 8564, 3652
2480, 7084, 390, 540, 434
1319, 2628, 1746, 9790, 5879
80, 5758, 1552, 1060, 2458
8906, 438, 790, 3338, 7399
7900, 1438, 2213, 5302, 2319
6752, 6469, 9787, 5868, 1274
9779, 454, 1366, 6676, 4587
6657, 9260, 7215, 4140, 9068
2564, 6539, 9438, 3619, 1329
9339, 1931, 4245, 2344, 3722
8816, 4820, 3142, 2417, 7938
9588, 1917, 6894, 6263, 2616
6009, 9667, 3393, 9439, 7110
4712, 2489, 7525, 1328, 5587
1914, 2343, 2107, 9975, 550
8711, 9834, 5298, 6796, 7208
7810, 6693, 413, 9908, 4689
1044, 1962, 7162, 9378, 6514
2691, 6309, 1627, 9543, 3583
9523, 9926, 9002, 2547, 3974
2083, 9514, 7838, 9874, 2534
2623, 5213, 9948, 3901, 9275
5218, 1701, 2649, 7799, 6270
6747, 7362, 4252, 888, 7460
8891, 6137, 4894, 6305, 377
5291, 2024, 7461, 5366, 3524
574, 425, 8489, 5451, 4051
7402, 2739, 6097, 6346, 5619
332, 3584, 1073, 7474, 5292
5867, 2527, 1364, 8829, 7291
6306, 5984, 4601, 738, 9227
2522, 8835, 2838, 5591, 2941
8060, 2287, 7496, 6279, 7870
5062, 8827, 8617, 1878, 800
6190, 6546, 7683, 3414, 2764
7144, 5096, 8244, 6363, 9765
4354, 2997, 2189, 1867, 9005
8344, 8353, 2503, 7450, 9727
7515, 1483, 3604, 6229, 7523
2352, 1343, 8127, 6725, 9214
3494, 3201, 1591, 9716, 86
8789, 8706, 4416, 8240, 8239
2449, 5969, 2505, 7882, 3745
1059, 9656, 7866, 2298, 7437
407, 1661, 6855, 8260, 3079
